timestamp;total_packets;total_loopback;total_multicast;total_udp;total_tcp;total_options;total_fragment;total_fin;total_syn;total_intensity;input_packets;input_udp;input_tcp;input_options;input_fragment;input_fin;input_syn;input_intensity;output_packets;output_udp;output_tcp;output_options;output_fragment;output_fin;output_syn;output_intensity
2025-11-06T16:05:54.767043;400;0;0;8;192;0;75;0;0;198.7955587532431;121;0;121;0;0;0;0;60.13565652285604;71;0;71;0;71;0;0;35.28621167870065
2025-11-06T16:05:56.781062;400;0;0;8;192;0;73;0;0;198.72028014022646;123;0;123;0;0;0;0;61.10648614311964;69;0;69;0;69;0;0;34.27924832418906
2025-11-06T16:05:58.798066;400;0;0;8;192;0;79;0;0;198.4676183257886;117;0;117;0;0;0;0;58.05177836029317;71;0;71;0;71;0;0;35.22800225282748
2025-11-06T16:06:00.812054;400;0;0;54;146;0;113;0;0;198.73306194701166;64;1;63;0;1;0;0;31.79728991152187;40;1;39;0;40;0;0;19.87330619470117
2025-11-06T16:06:02.826061;400;0;0;67;133;0;95;0;0;198.8147348298027;70;0;70;0;0;0;0;34.792578595215474;53;0;53;0;53;0;0;26.342952364948857
2025-11-06T16:06:04.843026;400;0;0;32;168;0;120;4;4;198.79280279076525;64;0;64;0;0;0;0;31.806848446522437;42;0;42;0;42;0;0;20.87324429303035
2025-11-06T16:06:06.866067;400;0;12;40;160;0;102;0;0;197.83552305284218;74;2;72;0;1;0;0;36.5995717647758;68;14;54;0;55;0;0;33.63203891898317
2025-11-06T16:06:08.880070;370;0;17;107;62;0;96;7;10;183.86138260780658;32;7;25;0;29;1;5;15.901524982296785;49;18;31;0;49;2;5;24.34921012914195
2025-11-06T16:06:10.894044;376;0;12;67;121;0;61;0;4;186.86953019513933;76;1;75;0;1;0;2;37.77150078412391;58;12;46;0;58;0;2;28.82561901946298
2025-11-06T16:06:12.908050;400;0;1;76;120;0;71;2;7;198.72957797663508;68;4;64;0;11;1;3;33.784028256027966;60;4;56;0;60;1;4;29.809436696495265
2025-11-06T16:06:14.922060;400;0;0;38;162;0;58;0;4;198.76863839252658;105;0;105;0;1;0;2;52.17676757803822;57;0;57;0;57;0;2;28.324530970935037
2025-11-06T16:06:16.936026;400;0;0;43;157;0;88;0;9;198.76016104850945;95;0;95;0;26;0;5;47.20553824902099;62;0;62;0;62;0;4;30.807824962518964
2025-11-06T16:06:18.950062;398;0;0;72;127;0;103;0;20;197.75659065040767;62;0;62;0;38;0;10;30.806303066143908;65;0;65;0;65;0;10;32.29693063386055
2025-11-06T16:06:20.967059;400;0;0;34;166;0;66;2;2;198.43097607575598;101;0;101;0;1;1;1;50.10382145912838;65;0;65;0;65;1;1;32.245033612310344
2025-11-06T16:06:22.983036;378;0;11;64;125;0;135;0;10;187.6517923032848;51;0;51;0;41;0;5;25.3180989615543;62;12;50;0;62;0;5;30.77886540424248
2025-11-06T16:06:25.002071;392;0;0;57;139;0;135;6;6;194.2665032347283;74;1;73;0;65;3;3;36.67275826369871;66;0;66;0;66;3;3;32.70813574870425
2025-11-06T16:06:27.016111;400;0;0;6;194;0;68;0;0;198.7485765143737;127;0;127;0;1;0;0;63.10267304331365;67;0;67;0;67;0;0;33.29038656615759
2025-11-06T16:06:29.031064;400;0;0;0;200;0;75;4;0;198.67305115341858;141;0;141;0;16;2;0;70.03225053158005;59;0;59;0;59;2;0;29.304275045129238
2025-11-06T16:06:31.047049;398;0;0;0;199;0;77;0;2;197.53526490360096;122;0;122;0;0;0;1;60.55101084984753;77;0;77;0;77;0;1;38.21662160195295
2025-11-06T16:06:33.061066;400;0;0;0;200;0;75;0;0;198.77019265070388;126;0;126;0;1;0;0;62.61261068497172;74;0;74;0;74;0;0;36.77248564038022
